Date,Description,Amount
01/15/2023,ALILA VENTANA GLAMPIBIG SUR             CA,267.67
01/15/2023,CARNEGIE MELLON UNIVPITTSBURGH          PA,75.00
01/15/2023,UBER ONE            help.uber.com       CA,9.99
01/14/2023,ASAKICHI 00-08022132SAN FRANCISCO       CA,44.54
01/10/2023,AplPay CVS PHARMACY PALO ALTO           CA,14.59
01/07/2023,UCB GRADUATE DIVISIOBERKELEY            CA,155.00
01/04/2023,AplPay STATE FARM INBLOOMINGTON         IL,14.00
01/04/2023,PAYPAL *PYPL PAYIN4 8882211161          CA,28.09
01/02/2023,ANDAZ               NAPA                CA,429.83
01/01/2023,MOBILE PAYMENT - THANK YOU,-174.92
12/27/2022,COINMACH NORTHERN CAUNION CITY          CA,2.09
12/27/2022,COINMACH NORTHERN CAUNION CITY          CA,2.09
12/27/2022,COINMACH NORTHERN CAUNION CITY          CA,2.09
12/26/2022,HYATT PLACE DELANO 6DELANO              CA,135.05
12/24/2022,HYATT PLACE BAKERSFIBAKERSFIELD         CA,173.38
12/24/2022,KUSHI 00-08035464687LAS VEGAS           NV,190.06
12/24/2022,MINISO DEPOT SHANGHALAS VEGAS           NV,22.72
12/24/2022,YI MEI CHAMPION DELILAS VEGAS           NV,84.39
12/22/2022,CHEVRON 0305034/CHEVFIREBAUGH           CA,16.52
12/20/2022,PAYPAL *PYPL PAYIN4 8882211161          CA,28.08
12/19/2022,AplPay CAGUAX LTD   CHICAGO             IL,35.08
12/19/2022,AplPay PANDA EXPRESSPALO ALTO           CA,14.95
12/19/2022,AplPay PY *KUNG FU TPALO ALTO           CA,6.90
12/19/2022,AplPay TRADER JOE S PALO ALTO           CA,4.49
12/19/2022,WEEE! INC           FREMONT,-5.00
12/18/2022,AplPay GROCERY WEEE!FREMONT             CA,121.65
12/18/2022,HOUSE OF JOY        New York            NY,102.26
12/17/2022,ADAM GROOMING ATELIENEW YORK            NY,67.93
12/17/2022,THAI VILLA 0000     NEW YORK            NY,50.11
12/16/2022,UCLA GRAD APP FEE 00LOS ANGELES         CA,155.00
