Date,Description,Amount
02/13/2023,AplPay BT*GRUBHUB CASAN FRANCISCO       CA,3.45
02/13/2023,UBER POSTMATES      SAN FRANCISCO       CA,18.09
02/12/2023,UBER EATS           help.uber.com       CA,24.17
02/11/2023,AMAZON.COM          AMZN.COM/BILL       WA,15.99
02/11/2023,UBER EATS           help.uber.com       CA,23.69
02/10/2023,AMAZON.COM          AMZN.COM/BILL       WA,16.13
02/10/2023,PHO BOWL VIETNAMESE BETHLEHEM           PA,61.19
02/09/2023,AMAZON.COM          AMZN.COM/BILL       WA,95.39
02/09/2023,UBER EATS           help.uber.com       CA,17.92
02/09/2023,UBER EATS           help.uber.com       CA,23.16
02/07/2023,Amazon Prime        Amazon.com          WA,7.94
02/07/2023,AplPay UBER EATS    help.uber.com       CA,22.00
02/07/2023,LU FM LIBRARY       BETHLEHEM           PA,12.74
02/06/2023,LU RATHBONE         BETHLEHEM           PA,11.75
02/05/2023,AplPay WEGMANS      BETHLEHEM           PA,67.68
02/04/2023,AplPay APPLE ONLINE CUPERTINO           CA,115.54
02/04/2023,AplPay WINE/SPIRITS BETHLEHEM           PA,24.16
02/01/2023,COLLEGENET*PENNSYLVAPHILADELPHI         PA,90.00
01/31/2023,AplPay G* GOAT714#47LOS ANGELES         CA,297.50
01/31/2023,AplPay LEHIGH-UNIV-BBETHLEHEM           PA,6.32
01/31/2023,AplPay STATE FARM INBLOOMINGTON         IL,14.00
01/31/2023,MOBILE PAYMENT - THANK YOU,-1524.46
01/30/2023,LU RATHBONE         BETHLEHEM           PA,11.75
01/29/2023,AMAZON MARKEPLACE NA PA,51.35
01/28/2023,CENT'ANNI           Brooklyn            NY,90.09
01/28/2023,FABRIQUE            New York            NY,51.17
01/28/2023,HAO NOODLE 0000     NEW YORK            NY,192.85
01/26/2023,AMAZON MARKEPLACE NA PA,8.10
01/26/2023,AMAZON.COM          AMZN.COM/BILL       WA,16.13
01/25/2023,AMAZON MARKEPLACE NA PA,114.47
01/25/2023,HYATT ANDAZ 5TH AVE NEW YORK            NY,-437.54
01/25/2023,HYATT ANDAZ 5TH AVE NEW YORK            NY,437.54
01/25/2023,HYATT ANDAZ 5TH AVE NEW YORK            NY,437.54
01/25/2023,LU RATHBONE         BETHLEHEM           PA,11.75
01/25/2023,UBER,7.45
01/24/2023,AMAZON.COM          AMZN.COM/BILL       WA,38.17
01/24/2023,AplPay GROCERY WEEE!FREMONT             CA,57.02
01/23/2023,AMAZON MARKEPLACE NA PA,5.18
01/23/2023,CORNELL TECH ADMISSINEW YORK            NY,95.00
01/21/2023,HAIDILAO HOT POT FLUFLUSHING            NY,178.55
01/21/2023,UNITED AIRLINES     HOUSTON             TX,8.00
01/20/2023,ALILA VENTANA BIG SUBIG SUR             CA,20.47
01/20/2023,ALILA VENTANA BIG SUBIG SUR             CA,150.00
01/18/2023,ALILA VENTANA GLAMPIBIG SUR             CA,15.10
01/17/2023,ALILA VENTANA BIG SUBIG SUR             CA,333.00
01/17/2023,BROWN SPS APP FEES 6PROVIDENCE          RI,100.00
01/16/2023,AplPay LULULEMON ON PALO ALTO           CA,85.22
01/16/2023,AplPay PANDA EXPRESSPALO ALTO           CA,14.02
